id,lat,lon
65345511,37.728508,-122.398507
367074000,37.797813,-122.4507984
367074001,37.7978427,-122.4506254
295217190,37.7702161,-122.4198047
65374898,37.745274,-122.471405
65309878,37.7349193,-122.4644637
2676337470,37.7952246,-122.4022957
65374895,37.745783,-122.471312
1736621060,37.753933,-122.5092956
1736621062,37.7539865,-122.5093122
65374891,37.74618,-122.471276
2317645370,37.7355292,-122.4608213
2317645371,37.7363152,-122.4636342
612025247,37.8021306,-122.4056197
612025246,37.8021052,-122.4056451
2317645374,37.7362575,-122.4635278
302963920,37.7283232,-122.5017269
612025249,37.8022345,-122.4056277
612025248,37.8022037,-122.4056076
259670096,37.7671243,-122.4676001
2920683560,37.7904787,-122.4290762
1921696326,37.7451845,-122.4187758
65337397,37.795883,-122.4078052
376862309,37.802866,-122.4047064
367017154,37.8059368,-122.4054525
367017156,37.8058255,-122.4054131
367017151,37.8060039,-122.4054423
367017150,37.8060657,-122.4054221
65374765,37.7966068,-122.3958407
65374767,37.7963968,-122.3969087
65283993,37.7338957,-122.4922984
65353751,37.754029,-122.459307
65285109,37.781286,-122.422187
65325240,37.792343,-122.44265
65325242,37.792783,-122.442738
65325244,37.792874,-122.442667
65325246,37.792905,-122.442429
728955371,37.7513355,-122.4027386
65372399,37.735965,-122.4525309
1707875306,37.7365644,-122.4705308
1707875304,37.7364804,-122.4707421
1707875305,37.7400828,-122.4666843
1707875308,37.7389212,-122.467983
65298286,37.7352998,-122.4517472
65372649,37.7347317,-122.4761869
300781635,37.8081037,-122.4089424
65298284,37.7354373,-122.4517172
315429863,37.7407206,-122.4598957
258910933,37.7804354,-122.4783078
317123063,37.7911917,-122.4081662
65375385,37.7963767,-122.4074176
65375381,37.747033,-122.398836
65298280,37.7356927,-122.4515233
1714229728,37.7350472,-122.4716621
1714229726,37.7344717,-122.471745
1714229724,37.734686,-122.4708902
369170841,37.7819947,-122.511548
369170840,37.7816087,-122.5121856
1714229721,37.7347605,-122.4714599
332786697,37.7996889,-122.4543226
65368314,37.734,-122.394451
2304626306,37.7698079,-122.4034486
65368310,37.734094,-122.394544
1736621069,37.7541653,-122.5093428
65286458,37.7633602,-122.4047145
1711297021,37.725863,-122.4576573
332786694,37.7999019,-122.4543629
766948553,37.7384699,-122.4068567
766948552,37.7384943,-122.4067964
